,Title,Artist,track_id,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time_Signature,explicit,Popularity,Release_Year,billboard_hot_100
56,como si na,melii,7LAK1HqDfxTt7HvSJ0px2M,0.716,0.7659999999999999,9.0,-4.133,1.0,0.173,0.219,0.0,0.244,0.7390000000000001,160.1,170998.0,4.0,0.0,43.0,2018.0,0
57,blah,mariah,5KOWiETj1KBUUe1oMohuHX,0.723,0.687,11.0,-4.632,0.0,0.2,0.0255,0.000207,0.124,0.777,173.747,188440.0,4.0,0.0,0.0,2018.0,0
58,love n hennessy remix (feat. 2 chainz & nicky jam),a.chal,5EE4UWNUvVKPWSwnvtMn3J,0.928,0.402,8.0,-7.569,0.0,0.451,0.0257,0.0,0.0804,0.62,139.998,253714.0,4.0,1.0,50.0,2018.0,0
59,mi infinita,cuco,34jrXQENVMzhDQHmjOJpA1,0.465,0.675,10.0,-7.555,1.0,0.0491,0.9,0.267,0.11,0.129,119.941,272000.0,4.0,1.0,50.0,2018.0,0
60,coqueta,katzù oso,66ddt3E6KGEpRhJVchDnz3,0.632,0.652,4.0,-10.558,1.0,0.0302,0.561,0.85,0.194,0.594,115.031,174000.0,4.0,0.0,12.0,2018.0,0
61,sola,jessie reyez,3doK7YkkgMtfD6qoXCkTWh,0.575,0.184,9.0,-10.26,1.0,0.0636,0.93,0.0,0.096,0.188,83.616,210013.0,4.0,0.0,53.0,2018.0,0
62,nuestro planeta (feat. reykon),kali uchis,12TOa8pzhbLTWh1vxIsPMp,0.871,0.55,0.0,-6.113,0.0,0.0613,0.0927,0.000742,0.0788,0.448,96.018,202755.0,4.0,0.0,57.0,2018.0,0
63,hijo de su madre,omar apollo,2LGR3T1xZwuELcOi6DpMXY,0.8290000000000001,0.606,5.0,-7.093,1.0,0.149,0.0646,0.391,0.281,0.732,118.051,178010.0,4.0,1.0,48.0,2018.0,0
64,lento,rudy mancuso,3TqVwe3IkJGvnFpbYvh9pu,0.8370000000000001,0.649,11.0,-5.26,0.0,0.192,0.149,7.63e-05,0.103,0.948,164.002,169251.0,4.0,0.0,44.0,2018.0,0
65,dicen,matt hunter,4cfoVJxpHqUqTvBrG1RTyi,0.8170000000000001,0.635,5.0,-5.7189999999999985,0.0,0.138,0.137,7.85e-06,0.245,0.777,103.029,220827.0,4.0,0.0,59.0,2018.0,0
66,bebe,6ix9ine,6mKs2kkBgvf090H566n1pd,0.635,0.902,0.0,-3.559,1.0,0.109,0.172,0.0,0.125,0.28600000000000003,102.063,217822.0,4.0,0.0,72.0,2018.0,0
67,zooted (feat. french montana & farruko),becky g,3clw56k8jqFaXnwdejV4Yo,0.815,0.626,6.0,-5.1389999999999985,1.0,0.103,0.267,1.31e-05,0.275,0.5710000000000001,109.989,217652.0,4.0,0.0,54.0,2018.0,0
68,havana - remix,camila cabello,3whrwq4DtvucphBPUogRuJ,0.7509999999999999,0.579,2.0,-4.0360000000000005,1.0,0.0321,0.398,2.28e-05,0.133,0.349,105.031,199095.0,4.0,0.0,67.0,2017.0,0
69,pum pum,sammi sanchez,08d7h5o87QHdxIJ8qwgvgh,0.736,0.906,4.0,-1.49,0.0,0.0566,0.0749,0.000123,0.12,0.611,93.013,185744.0,4.0,0.0,0.0,2018.0,0
70,quiero saber,jesse baez,3hbJTkEZUwGR7o74InfR3D,0.701,0.82,6.0,-5.481,0.0,0.0503,0.00282,1.97e-06,0.315,0.552,102.997,166093.0,4.0,0.0,43.0,2018.0,0
71,como,kim viera,2sVQ3guXjN1KB3BiuZHaFD,0.544,0.848,9.0,-3.574,1.0,0.0658,0.00321,0.0,0.0561,0.657,92.061,234373.0,4.0,0.0,40.0,2018.0,0
72,díganle - tainy remix,leslie grace,1l89iNLbzfFN9TsWJORolB,0.84,0.789,1.0,-4.695,0.0,0.0949,0.102,0.0,0.309,0.619,92.018,211438.0,4.0,0.0,56.0,2018.0,0
73,sangria wine,pharrell williams,6XlSyYFTU1nodeWwwzVgTV,0.831,0.713,1.0,-3.646,0.0,0.094,0.181,0.0,0.0572,0.69,132.109,202853.0,4.0,0.0,58.0,2018.0,0
74,just as i am,spiff tv,1iKMpywaaihrz8gqaRqzp1,0.682,0.7509999999999999,8.0,-5.812,0.0,0.0675,0.235,0.0,0.11,0.708,129.937,224413.0,4.0,0.0,48.0,2017.0,0
75,scooby doo pa pa (remix),dj kass,1qn6qJieOnISqDvhAsnyKT,0.921,0.965,1.0,-1.396,1.0,0.178,0.196,0.000201,0.32299999999999995,0.507,120.902,176703.0,4.0,1.0,0.0,2018.0,0
76,"1, 2, 3 (feat. jason derulo & de la ghetto)",sofia reyes,4QtiVmuA88tPQiCOHZuQ5b,0.792,0.895,1.0,-3.112,0.0,0.0589,0.165,0.0,0.0501,0.794,94.968,201526.0,4.0,0.0,70.0,2018.0,0
77,pa mi (with ozuna),tory lanez,0CYLDwvvpJQySLA5CvqvSl,0.596,0.557,1.0,-7.522,0.0,0.132,0.0991,0.0,0.0565,0.6609999999999999,133.247,216689.0,5.0,1.0,57.0,2018.0,0
78,lo siento,super junior,2VVqxQhALecXvaArlZSVXr,0.746,0.738,9.0,-3.67,1.0,0.207,0.0705,0.0,0.043,0.63,94.808,226184.0,4.0,0.0,58.0,2018.0,0
79,nuestra cancion pt. 2 (feat. arcángel),snow tha product,6fXcO9KlWgg4zAgEHDg84i,0.493,0.825,8.0,-4.056,1.0,0.0798,0.0079,0.0,0.129,0.621,99.866,215004.0,4.0,0.0,34.0,2017.0,0
80,pum pum (feat. kap g & play-n-skillz),messiah,3Aisht63nuyccguwcW3ek5,0.871,0.563,10.0,-8.329,0.0,0.0795,0.149,0.0,0.0568,0.62,91.998,182225.0,4.0,1.0,35.0,2018.0,0
81,hora loca,dj africa,0IfyEwBIhH64zdIHoKOFys,0.65,0.8009999999999999,7.0,-5.407,0.0,0.0726,0.0505,0.0,0.0645,0.74,166.16,215422.0,4.0,0.0,46.0,2018.0,0
82,better with you,michl,1FjHxl8B28sXj7eVfxdST4,0.784,0.4370000000000001,5.0,-7.8679999999999986,1.0,0.0509,0.265,6.979999999999999e-05,0.126,0.47,90.00299999999999,196018.0,4.0,1.0,50.0,2018.0,0
83,nights like these,ne-yo,5wV6xSCqRD8kqV6daq7S7w,0.494,0.7290000000000001,2.0,-4.934,1.0,0.161,0.133,0.0,0.14300000000000002,0.421,78.833,204453.0,4.0,0.0,41.0,2018.0,0
84,alright,anthony ramos,6oFsUGtEpV7qZGyYpQGtJe,0.456,0.5870000000000001,5.0,-5.664,1.0,0.0609,0.0227,0.0,0.0439,0.249,169.828,229053.0,4.0,0.0,42.0,2018.0,0
85,insecure,amara la negra,5vad0eq5x3f3rtRlo8GnL4,0.483,0.685,10.0,-3.232,0.0,0.174,0.369,0.0,0.0817,0.546,185.502,191907.0,4.0,0.0,34.0,2018.0,0
86,si una vez - (if i once)[spanglish version],play-n-skillz,2qrv19NlDX5H67XZR1QCcn,0.62,0.823,5.0,-2.436,1.0,0.0567,0.0762,3.13e-05,0.112,0.404,175.921,237861.0,4.0,0.0,45.0,2017.0,0
87,finesse (remix) [feat. cardi b],bruno mars,3Vo4wInECJQuz9BIBMOu8i,0.7040000000000001,0.8590000000000001,5.0,-4.877,0.0,0.0996,0.0185,0.0,0.0215,0.926,105.115,217289.0,4.0,1.0,76.0,2017.0,0
88,belong to u,fancy cars,6pG8mlZHcSt14eQCOQxA2N,0.631,0.7709999999999999,1.0,-5.78,1.0,0.0517,0.628,3.65e-05,0.0946,0.466,100.931,202574.0,4.0,0.0,27.0,2017.0,0
89,crazy in love,beyoncé,5IVuqXILoxVWvWEPm82Jxr,0.6459999999999999,0.77,2.0,-6.596,0.0,0.226,0.00249,0.0,0.0715,0.6809999999999999,99.165,236133.0,4.0,0.0,79.0,2003.0,0
90,michael jackson x mark ronson: diamonds are invincible,michael jackson,7jRs0CvNctNBNH1roANQdY,0.672,0.8320000000000001,11.0,-2.388,0.0,0.342,0.342,0.00042800000000000016,0.242,0.5489999999999999,117.298,300027.0,4.0,0.0,45.0,2018.0,0
91,live your life (feat. rihanna),t.i.,3jlbL2OTD5YmIunYzgQTAN,0.375,0.862,11.0,-3.363,0.0,0.255,0.071,0.0,0.211,0.478,159.841,338853.0,4.0,1.0,77.0,2008.0,0
92,love never felt so good,michael jackson,48td6xvpokdYwvbl3JIiXP,0.775,0.7190000000000001,7.0,-6.2120000000000015,0.0,0.0435,0.132,1.79e-06,0.0662,0.7120000000000001,117.513,246027.0,4.0,0.0,70.0,2014.0,0
93,drops of jupiter,train,2hKdd3qO7cWr2Jo0Bcs0MA,0.468,0.64,0.0,-5.862,1.0,0.0276,0.153,0.0,0.154,0.499,79.297,259933.0,4.0,0.0,80.0,2001.0,0
94,tik tok,kesha,0HPD5WQqrq7wPWR7P7Dw1i,0.755,0.8370000000000001,2.0,-2.718,0.0,0.142,0.0991,0.0,0.289,0.7140000000000001,120.028,199693.0,4.0,1.0,83.0,2010.0,0
95,look at me now,chris brown,3hsmbFKT5Cujb5GQjqEU39,0.767,0.677,11.0,-6.127999999999999,0.0,0.184,0.0339,5.51e-06,0.14400000000000002,0.5379999999999999,146.155,222587.0,4.0,1.0,73.0,2011.0,0
96,oops!...i did it again,britney spears,6naxalmIoLFWR0siv8dnQQ,0.7509999999999999,0.8340000000000001,1.0,-5.444,0.0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,211160.0,4.0,0.0,81.0,2000.0,0
97,get lucky (feat. pharrell williams & nile rodgers) - radio edit,daft punk,2Foc5Q5nqNiosCNqttzHof,0.794,0.8109999999999999,6.0,-8.966000000000003,0.0,0.038,0.0426,1.07e-06,0.101,0.862,116.047,248413.0,4.0,0.0,81.0,2013.0,0
98,"one, two step",ciara,7uKcScNXuO3MWw6LowBjW1,0.944,0.511,5.0,-10.96,0.0,0.161,0.042,0.00107,0.0379,0.8420000000000001,113.046,203787.0,4.0,0.0,76.0,2004.0,0
99,dirrty (feat. redman),christina aguilera,59ZTxQo8rBycIXPLUIKvE2,0.64,0.889,2.0,-3.073,1.0,0.322,0.107,0.0,0.339,0.436,99.931,298853.0,4.0,1.0,71.0,2002.0,0
100,"independent women, pt. 1",destiny's child,69XUpOpjzDKcfdxqZebGiI,0.73,0.602,6.0,-3.782,0.0,0.206,0.362,3.69e-06,0.16899999999999998,0.927,97.954,221133.0,4.0,0.0,67.0,2001.0,0
101,get the party started,p!nk,02jcEwywffn3Tsb48fXmlW,0.802,0.904,11.0,-3.267,0.0,0.046,0.0011,0.0,0.173,0.961,128.931,192533.0,4.0,1.0,70.0,2001.0,0
102,the anthem,good charlotte,0BRHnOFm6sjxN1i9LJrUDu,0.494,0.939,1.0,-3.127,1.0,0.126,0.00666,0.0,0.139,0.893,177.75099999999995,175093.0,4.0,0.0,75.0,2002.0,0
103,over you,daughtry,7mXmxXLAnsvXKt4Q37KoMI,0.423,0.922,3.0,-2.602,1.0,0.0411,0.017,0.0,0.102,0.5670000000000001,156.063,204853.0,4.0,0.0,62.0,2006.0,0
104,vivir mi vida,marc anthony,3QHMxEOAGD51PDlbFPHLyJ,0.655,0.877,0.0,-3.23,0.0,0.0342,0.345,0.0,0.349,0.893,105.017,252347.0,4.0,0.0,77.0,2013.0,0
105,la vida es un carnaval,celia cruz,1BwrMGGhPA6GarWIYaFrW8,0.813,0.701,0.0,-6.507999999999999,0.0,0.0701,0.489,0.00116,0.294,0.855,104.019,278867.0,4.0,0.0,70.0,2016.0,0
106,lambada - original version 1989,kaoma,6xepovPqjvrkEw9Y5AMmTm,0.7559999999999999,0.8,5.0,-5.158,1.0,0.0329,0.211,0.000723,0.047,0.967,118.921,207467.0,4.0,0.0,72.0,2007.0,0
107,la camisa negra,juanes,2EM9zpAc7PVeoAydmbfVIL,0.7509999999999999,0.731,6.0,-4.419,0.0,0.0308,0.0838,0.0,0.0556,0.973,97.007,216707.0,4.0,0.0,73.0,2004.0,0
108,la gota fría,carlos vives,5ZaTqcL7zIreaVNeVy89Iu,0.7190000000000001,0.809,1.0,-10.201,1.0,0.0511,0.0893,0.0,0.183,0.964,100.839,215493.0,4.0,0.0,0.0,1993.0,0
109,suavemente,elvis crespo,1YwPNemawMgGe6sF4U0FTE,0.809,0.883,8.0,-2.965,1.0,0.0689,0.238,0.00234,0.0625,0.918,124.096,266307.0,4.0,0.0,68.0,2008.0,0
110,bailando - spanish version,enrique iglesias,32lm3769IRfcnrQV11LO4E,0.723,0.777,7.0,-3.503,1.0,0.108,0.0426,3.68e-06,0.0451,0.961,91.017,243413.0,4.0,0.0,69.0,2014.0,0
111,danza kuduro,don omar,2a1o6ZejUi8U3wzzOtCOYw,0.4,0.915,0.0,-4.89,1.0,0.28,0.0846,0.0,0.0503,0.878,88.917,198773.0,3.0,1.0,79.0,2010.0,0
112,conga,miami sound machine,3FdHgoJbH3DXNtGLh56pFu,0.789,0.655,2.0,-14.825,1.0,0.0474,0.168,0.0409,0.0311,0.865,122.236,254000.0,4.0,0.0,67.0,1985.0,0
113,guantanamera,celia cruz,7arYtARCpVmLPsB8Chua4A,0.753,0.522,10.0,-7.254,1.0,0.0416,0.831,0.00398,0.407,0.862,144.2,197067.0,4.0,0.0,0.0,2003.0,0
114,el matador,los fabulosos cadillacs,4S0p4Z0KuVUWm2bxKoGPRJ,0.5539999999999999,0.963,4.0,-5.439,0.0,0.106,0.0348,0.029,0.0836,0.662,193.805,274067.0,4.0,0.0,44.0,2004.0,0
115,amor prohibido,selena,1kCewNSs909Xj1naXr36X8,0.6809999999999999,0.504,7.0,-11.099,1.0,0.0284,0.669,0.0,0.142,0.705,89.994,172627.0,4.0,0.0,74.0,1994.0,0
116,obsesion,aventura,65H6t1WQBim6q93yM8fEwn,0.804,0.56,1.0,-6.912000000000001,0.0,0.0397,0.416,0.0,0.0608,0.768,133.68200000000002,254720.0,4.0,0.0,76.0,2002.0,0
117,let's get loud,jennifer lopez,42nSaPdT6g3ZIMHmKLlP2p,0.82,0.937,5.0,-4.81,0.0,0.0549,0.135,0.000128,0.35,0.906,130.993,239400.0,4.0,0.0,70.0,1999.0,0
118,oye como va,tito puente,73uEbChpBB29ttwVnwuNVE,0.6579999999999999,0.738,7.0,-6.7170000000000005,1.0,0.0315,0.747,0.00605,0.0624,0.963,123.261,274019.0,4.0,0.0,62.0,1962.0,0
119,bamboleo,gipsy kings,4EveU9Zb50mjgi5avDNqlK,0.6709999999999999,0.884,6.0,-9.267,0.0,0.0586,0.414,0.00015,0.0701,0.933,119.574,203173.0,4.0,0.0,55.0,1988.0,0
120,pedro navaja,rubén blades,3TfU1HNQzBR7Btx73qm29W,0.603,0.328,8.0,-17.253,1.0,0.359,0.543,0.0,0.229,0.698,101.856,444267.0,4.0,0.0,35.0,1978.0,0
